Pfn2	NM_019410
Phtf2	NM_172992
Myl3	NM_001364484
Setd7	NM_080793
Akr1a1	NM_021473
Smtnl2	NM_177776
Ubr3	NM_001081548
Klhl24	NM_029436
Got2	NM_010325
Rplp0	NM_007475
Svil	NM_001347449
Jtb	NM_206924
Gpd2	NM_001145820
Serinc3	NM_001412441
Morf4l2	NM_001168225
Mat2a	NM_001363798
Psmd2	NM_134101
Shisa4	NM_175259
Cct2	NM_001358767
Cox14	NM_183256
Riok3	NM_024182
Btbd1	NM_146193
Kpna3	NM_008466
Psmb4	NM_008945
Pbxip1	NM_146131
Ehbp1l1	NM_001114595
Anxa6	NM_001110211
Prkar2a	NM_008924
Reep5	NM_007874
Tbc1d1	NM_001289514
Ivns1abp	NM_001039511
Arl8b	NM_026011
Uaca	NM_001357407
Psmd8	NM_026545
Smox	NM_001177833
Gmpr	NM_025508
Hsbp1	NM_024219
Kif5b	NM_008448
Nudt3	NM_001291046
Prnp	NM_001278256
Ubc	NM_019639
Canx	NM_001110499
Dmpk	NM_001190490
Nr1d2	NM_011584
Calu	NM_001285412
Jph2	NM_001205076
Ddb1	NM_001410219
Capns1	NM_009795
Camk2a	NM_001286809
Mustn1	NM_181390
Mfn1	NM_024200
Nek7	NM_001311148
Rab7	NM_001293652
Atp6v1g1	NM_024173
Gpc1	NM_016696
Abcf2	NM_001190443
Fkbp4	NM_010219
Etf1	NM_144866
Rab2a	NM_001411827
Cacnb1	NM_001159319
Cdc34	NM_001359817
Ppp3cb	NM_001310426
Coa5	NM_198006
Eef1a1	NM_010106
Aplp2	NM_001102455
Etfa	NM_145615
Cox7a2l	NM_001159529
Ccdc91	NM_001355713
Cd164	NM_016898
Tmem109	NM_134142
Eif3c	NM_146200
Ech1	NM_016772
Spop	NM_001359107
Pja2	NM_001025309
Dynlrb1	NM_001291108
Rpl41	NM_018860
Zfand5	NM_009551
Map1lc3a	NM_025735
Plin4	NM_001372234
Nmrk2	NM_027120
Ube2g1	NM_025985
Lrrc2	NM_028838
Cct8	NM_009840
Fabp3	NM_010174
Ddit4l	NM_030143
Pptc7	NM_177242
Prkar1a	NM_001313973
Ctsb	NM_007798
Psmd7	NM_010817
Ywhag	NM_018871
Ube2r2	NM_026275
Trap1	NM_026508
Idh2	NM_173011
Epas1	NM_010137
Sgca	NM_009161
Synpo2	NM_001388502
Sgcg	NM_011892
B2m	NM_009735
Bnip3	NM_009760
Thbs4	NM_011582
Psmc4	NM_011874
Capn3	NM_001109761
Dag1	NM_001276481
Eif3a	NM_010123
